Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-15,Freaks of Nature,2015,https://boxd.it/WFKGh,4,,,2020-01-12
2020-01-14,M.F.A.,2017,https://boxd.it/WBjlj,3,,,2020-01-13
2020-01-15,Zathura: A Space Adventure,2005,https://boxd.it/WGWyr,4,,,2020-01-14
2020-01-16,Green Room,2015,https://boxd.it/WMmSd,5,,,2020-01-15
2020-01-20,The Edge of Seventeen,2016,https://boxd.it/X6Wzh,2,,,2020-01-19
2020-01-23,The Lighthouse,2019,https://boxd.it/Xn4Jr,4,,,2020-01-21
2020-01-25,The Two Popes,2019,https://boxd.it/Xyxht,5,,,2020-01-23
2020-01-27,Jumanji: The Next Level,2019,https://boxd.it/XIaIr,4,,,2020-01-25
2020-01-27,Airplane Mode,2020,https://boxd.it/XIToB,5,,,2020-01-26
2020-01-28,Jojo Rabbit,2019,https://boxd.it/XRsWT,5,,,2020-01-27
2020-01-29,1917,2019,https://boxd.it/XXjBf,5,,,2020-01-29
2020-02-03,Little Women,2019,https://boxd.it/YkmRB,4,,,2020-02-02
2020-02-03,Ford v Ferrari,2019,https://boxd.it/YkmVD,4.5,,,2020-02-02
2020-02-05,Uncut Gems,2019,https://boxd.it/YxyXn,2.5,,,2020-02-04
2020-02-07,Bombshell,2019,https://boxd.it/YGZuZ,5,,,2020-02-06
2020-02-11,American Factory,2019,https://boxd.it/Z3Dwb,3,,,2020-02-08
2020-02-12,The Host,2006,https://boxd.it/Z9GZx,4,,,2020-02-11
2020-02-16,Mother,2009,https://boxd.it/ZsLBX,3.5,,,2020-02-15
2020-02-25,Jim & Andy: The Great Beyond,2017,https://boxd.it/10keGX,5,,,2020-02-23
2020-02-28,The Purge,2013,https://boxd.it/10v0zZ,3.5,,,2020-02-26
2020-02-28,The Purge: Anarchy,2014,https://boxd.it/10v0CJ,4.5,,,2020-02-26
2020-03-11,The Invisible Man,2020,https://boxd.it/11svN7,5,,,2020-02-29
2020-03-11,Countdown,2019,https://boxd.it/11svSr,2.5,,,2020-03-01
2020-03-24,The Platform,2019,https://boxd.it/12E4Dx,3.5,,,2020-03-22
2020-03-25,Isle of Dogs,2018,https://boxd.it/12Nvwr,5,,,2020-03-24
2020-03-26,Paradise Lost: The Child Murders at Robin Hood Hills,1996,https://boxd.it/12V9e7,3,,,2020-03-25
2020-03-28,Fantastic Mr. Fox,2009,https://boxd.it/13794Z,4.5,,,2020-03-27
2020-03-29,Bowling for Columbine,2002,https://boxd.it/13g4CF,5,,,2020-03-28
2020-03-29,The Occupant,2020,https://boxd.it/13gF91,2,,,2020-03-28
2020-03-30,Snowpiercer,2013,https://boxd.it/13nFZ1,5,,,2020-03-29
2020-03-31,House of Wax,2005,https://boxd.it/13tJol,5,,,2020-03-30
2020-04-05,The Hunt,2020,https://boxd.it/146YHP,3,,,2020-04-04
2020-04-10,Swallow,2019,https://boxd.it/14HGux,2,,,2020-04-09
2020-04-11,Learning to Skateboard in a Warzone (If You're a Girl),2019,https://boxd.it/14MQzd,4,,,2020-04-10
2020-04-11,Vivarium,2019,https://boxd.it/14POil,3,,,2020-04-10
2020-04-12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/14XLEJ,,,,2020-04-11
2020-04-12,They Live,1988,https://boxd.it/150X7j,4.5,,,2020-04-12
2020-04-16,Take Shelter,2011,https://boxd.it/15tXQh,3.5,,,2020-04-15
2020-04-19,Eyes Wide Shut,1999,https://boxd.it/15Q7rl,3.5,,,2020-04-18
2020-04-30,The Thing,1982,https://boxd.it/17gk2T,5,,,2020-04-29
2020-05-01,Rosemary's Baby,1968,https://boxd.it/17nLWN,5,,,2020-04-30
2020-05-03,Super Size Me,2004,https://boxd.it/17DKTv,3,,,2020-05-02
2020-05-04,Knives Out,2019,https://boxd.it/17McAn,4.5,,,2020-05-03
2020-05-05,Super Size Me 2: Holy Chicken!,2017,https://boxd.it/17SY7Z,4,,,2020-05-04
